first-name,last-name,full-name,title,organization,bio,slug,bio_short
Eric,Ullrich,Eric Ullrich,Co-Founder,Hacker Lab,"Eric Ullrich has been a community innovation advocate in the greater Sacramento region for the last seven years. He co-founded Hacker Lab, a maker space and education facility in Midtown that hosts over 40 events a month. As Hacker Labâ€™s growth strategy director, he develops innovation programs focused on improving the Sacramento economy. Eric has also created and currently directs the Startup Hustle boot camp, a six-week entrepreneurial skills building program. Currently, heâ€™s learning Irish fiddle tunes on acoustic guitar.",eric-ullrich,"Eric Ullrich has been a community innovation advocate in the greater Sacramento region for..."
Andrea,Deveau,Andrea Deveau,"Senior Vice President, Sacramento",Strategies 360,"Andrea Deveau leads S360’s office in Sacramento and is a seasoned advocacy veteran with deep experience in energy and technology policy.Prior to S360, Andrea served as Vice President of State Policy and Politics for TechNet, the leading voice for the innovation economy. During this time, Andrea was responsible for leading TechNet’s 50-state advocacy program and raised the organization’s profile by securing numerous legislative victories on advanced energy, privacy, security, future of work, and education. Prior to TechNet, Andrea served as the Senior Director of Policy Innovation at Direct Energy for 13 years, where she had multi-state, region, and national responsibilities for local and state government policy development. She also served in the capacity of Board Secretary for the TechNet Executive Committee and in January 2016 and Andrea was appointed to the California Million Women Mentors Honorary Leadership Council. She has served as a Steering Committee Member for the California Alliance for Competitive Energy Solutions, President of the Alliance for Retail Energy Markets, and as a Board Member of the Arizona Independent System Administrator. In 2012, Andrea received the Western Power Trading Forum’s Kent Wheatland Award in recognition of her efforts in advocating for competitive energy market policy. Ms. Deveau is a graduate of the University of Arizona, earning a Bachelor of Science and Business Administration.",andrea-deveau,"Andrea Deveau leads S360’s office in Sacramento and is a seasoned advocacy veteran with deep experience in energy and technology policy..."
Jay,Sales,Jay Sales,Co-founder of The Shop,VSP Global,"In 2006, Jay Sales joined VSP Global, an industry-leading organization that brings together high-quality, high-fashion eyewear, customized lenses and ophthalmic technology to help more than 84 million people see. Today, Sales serves as co-founder and co-director of VSP's innovation lab, The Shop. Predicated on design thinking, lean methodologies, and disruption theory, The Shop is breaking down boundaries between the digital and physical worlds where design, fashion and healthcare collide. The Shopâ€™s mission is to evolve design and technology towards discoveries that enhance lives. Jay has over 20 years of experience in technology, which has included positions working with IBM and its premiere business partners, HP, and multiple start-ups and internet companies. He is currently leading a fast-paced team that emphasizes design-driven disruption via technology for the healthcare and vision industries. Most recently, Jayâ€™s team debuted Levelâ„¢, the first wearable tech frame prototype by a healthcare company to seamlessly integrate health-tracking technology into the temple of an optical frame.",jay-sales,"In 2006, Jay Sales joined VSP Global, an industry-leading organization that brings together high-quality,..."
Jeffrey,Louie,Jeffrey Louie,Founder/Entrepreneur,Capsity,"Jeff Louie is a Sacramento native and UC Berkeley Alumni. In 2008 he founded Capsity, Inc., a CA Benefit Corporation that serves as a hybrid model of business development and community engagement space for Sacramento entrepreneurs and business professionals. In 2012 Capsity moved into unique position as an owner occupied space with a 4500 sq. ft. commercial building in Sacramento, CA. In 2018, Capsity will be expanding into a 10,000 sq. ft. 2nd location in Oak Park and develop more resources towards the mission of zero barriers for entrepreneurship in Sacramento.
 As a serial entrepreneur Jeff has started several companies and projects revolving around financial services, video media & marketing, events management, mobile app development, and most recently quick food service. He has 16 years of broad experience across multiple industries including information technology, education & workforce, media creation, operations management, and real estate development.
 In 2015, Jeff moved to Redwood City, CA but maintains a deep involvement in Sacramento's Innovation and Entrepreneurial Ecosystem. In past volunteer leadership roles he served as a Board Member of the Sacramento Asian Chamber of Commerce, Board Member of the Benefit Corporations Standards Institute, a committee member on the Sacramento Region Community Foundation's Community Impact Committee, and as a committee member on Metro EDGE's Communication Committee.
 Jeff was recognized as a 40 under 40 by the Sacramento Business Journal in 2012 and was spotlighted in the March 2013 issue of Comstockâ€™s Magazine with other young professionals.",jeffrey-louie,"Jeff Louie is a Sacramento native and UC Berkeley Alumni. In 2008 he founded Capsity, Inc., a CA..."
Brook,Taylor,Brook Taylor,Senior State Regulatory Affairs Specialist,Mercedes-Benz Research and Development North America,"Brook Taylor is the Senior State Regulatory Affairs Specialist for Mercedes-Benz Research and Development North America. Hired in 2017, he is responsible for helping the number one luxury car brand in the world bring new innovations to market including zero emission vehicles and autonomous technology. He has over 12 years of experience in public policy, economic development, government affairs and communications.
 Prior to joining Mercedes, he was a senior aide to Governor Jerry Brown as deputy director at the California Governor's Office of Business and Economic Development (GO-Biz). All total he has served two California Governors as an appointee, previously as a Senior Policy Analyst for Governor Arnold Schwarzenegger. He graduated from the University of Oregon School of Journalism and is still waiting for a call from Rolling Stone magazine to become a rock journalist.",brook-taylor,"Brook Taylor is the Senior State Regulatory Affairs Specialist for Mercedes-Benz Research and..."
Ryan,Montoya,Ryan Montoya,"Chief Technology Officer, Strategy, Innovation & Technology",Sacramento Kings,"Ryan Montoya is the Chief Technology Officer for the Sacramento Kings. His responsibilities include providing direction and managing the Sacramento Kings new technology and innovation strategies to enhance the fan experience and improve the teamâ€™s performance. Under his leadership, the Kings became the first NBA team on Twitter, to use Bitcoin, experiment with Google Glass and utilize drones. He also led the teamâ€™s strategic investment in VOKE VR and oversees all technology for Sacramentoâ€™s downtown entertainment and sports complex, Golden 1 Center.
 Throughout his career, Montoya has advised, invested and served at all levels of early stage technology companies. Montoya began his career as an aide to President Clinton, Vice President Gore and two Cabinet Secretaries. A native of Colorado, Montoya received his bachelorâ€™s degree from the University of Notre Dame, a masterâ€™s in International Studies/Security from the Josef Korbel School of International Studies at the University of Denver and an MBA from California State University, Sacramento.",ryan-montoya,Ryan Montoya is the Chief Technology Officer for the Sacramento Kings. His responsibilities include providing...
Meg,Arnold,Meg Arnold,Managing Director,Valley Vision,"Meg joined Valley Vision as a consultant in 2014 before stepping into the role of managing director in 2016. She directs two of the organizationâ€™s key strategiesâ€”the Clean Economy and Innovation & Entrepreneurship initiativesâ€”and is part of the organizationâ€™s executive leadership team.
 Megâ€™s career in the Sacramento region began in 2001 and includes roles supporting startup companies emerging from research labs at UC Davis, strategic counsel to Drexel University when it opened a campus in Sacramento in 2008, and five years as CEO of SARTA, the Sacramento Regional Technology Alliance.
 While at SARTA, Meg was instrumental in the organizationâ€™s expansion of support for regional technology companies, including founding the MedStart and AgStart programs. She helped drive significant growth in awareness of the importance of technology companies in the regionâ€™s economy, leading SARTA to be one of four founding organizations behind the creation of the Next Economy regional jobs growth plan. Prior to moving to Sacramento in 2001, Meg worked in multinational lending and in strategy and business development in the telecommunications industry in Toronto, New York, and London.
 Meg is frequently invited to speak on topics of innovation, entrepreneurship, and their contributions to economic development, and her expertise and influence has been broadly recognized with numerous accolades and leadership positions.
 Meg lives in Davis with her husband and their blended family of four teenagers between 14 and 18 years old. She dedicates her summer vacations to visits to the family cottage in Ontario, Canada, and hopes to someday sail from San Francisco Bay to the coast of Maine.",meg-arnold,Meg joined Valley Vision as a consultant in 2014 before stepping into the role of managing director in 2016...
Vaibhav,Nagauda,Vaibhav Nadgauda,Managing Partner,Moneta Ventures,"Vaibhav Nadgauda is a partner at Moneta Ventures. Prior to joining Moneta, Vaibhav was President of the SAP Business Unit at KPIT, managing a global portfolio of over $100 Million in revenue and a team of over 1,800 employees. He was co-founder and partner at Sparta Consulting, where he served as Executive Vice President and played a key role in growing the company to $100+ Million in five years. He was Vice President of Corporate Development and Global Delivery at Fujitsu Consulting, a Fortune Global 500 company, leading a team of over 1700 consultants globally. Vaibhav started his career 21 years ago at Siemens. He holds a Bachelorâ€™s of Science degree in Electronics and a Masterâ€™s Degree in Computer Management, both from the University of Pune.",vaibhav-nadgauda,"Vaibhav Nadgauda is a partner at Moneta Ventures. Prior to joining Moneta, Vaibhav was President of..."
Robert,Rodriguez,Robert Rodriguez,Chief Executive Officer,Cambria Solutions,"Robert Rodriguez is the CEO and founder of Cambria Solutions, Inc., a Sacramento-based firm leading in the delivery of innovative technology solutions for government agencies. Cambriaâ€™s mission is to help clients innovate and deliver results for the public good.
 Since the companyâ€™s founding in 2003, Robert has transformed Cambria from a local start-up serving key California state agencies in the transportation and healthcare services arena, into a thriving national business with more than 100 employees and seven offices strategically located across the United States.
 Cambria was recognized in 2017 as one of the 50 Smartest Companies of the Year by the Silicon Valley Review and has been recognized seven times by Inc. Magazine as one of Americaâ€™s fastest-growing private companies. In 2014, Consulting Magazine, which honors the country's best niche firms, recognized Cambria as one of the nation's â€œSeven Small Jewels."" A national IT association, LISTA, named Cambria in 2015 as the California IT Company of the Year.
 Robertâ€™s passion for community revitalization and economic diversification led to his second venture, real estate investment firm Cassadyne Properties, LLC. Cassadyne specializes in purchasing, refurbishing, and managing downtown apartment units and commercial office buildings to ultimately contribute to the revitalization of downtown Sacramento.
 His community efforts include establishing educational scholarships, serving on Advisory Boards (including USCâ€™s State Capital Center), and raising more than $500,000 for non-profits since Cambriaâ€™s founding.
 Robert holds a Masterâ€™s Degree in Public Administration from the University of Southern California (USC), and executive education certificates from the Harvard School of Business and the UC Berkeley Haas School of Business. Most recently, he participated in the Stanford Latino Entrepreneur Leadership Program. Robert has accumulated 25 advanced trainings in his 20+ years in the technology industry.
 In his free time, Robert enjoys keeping up with college football, following politics and current events, and spending time on California's Northern Coast with his wife, Grietje and their two rescue dogs, Lesley and Harry.",robert-rodriguez,"Robert Rodriguez is the CEO and founder of Cambria Solutions, Inc., a Sacramento-based firm leading in..."
Damian,Lynch,Damian Lynch,Chief Operations Officer & Event Manager,HOFDay,"Sacramentoâ€™s infamous Hall of Fame has cultivated its roots in the city, as the collective celebrated its third annual #HOFDAY on September 16 in Old Sacramento. While it is known as â€œa party so big, they call it a festival,â€ #HOFDAY is in fact a monumental music and arts festival celebrating the youthâ€™s imprint within the city. Indeed, HOF is the first external company, in 30 years, to host a large-scale event in Old Sacramento.
 As a conglomerate, HOF has been entertaining and catering to Sacramentoâ€™s youth unlike any other group. Weekly events, such as CAKE at District 30 and Salty Saturdays at Highwater, have significantly propelled HOFâ€™s clout in the last year alone. However, the group has been around since 2008 and has plans to be around for many years to come.
 As a founding member, Damian Lynch, HOFâ€™s Chief Operations Officer and Event Manager, has persistently been in meetings with the city and his team, working to break the barriers necessary to bring such a large-scale event to life.",damian-lynch,"Sacramento's infamous Hall of Fame has cultivated its roots in the city, as the collective celebrated it's third..."
Tina,Reynolds,Tina Reynolds,President,Uptown Studios,"The Uptown Studios crew is known for being creative, dedicated and enthusiastic. Started by Tina Reynolds in 1992, Uptown Studios is now at the top of its game with a full team of creative professionals ready to help you change your world. Tina has always led by example with her fiery enthusiasm and eagerness to take challenges head-on.
 She promotes a happy, healthy work environment where each team member is valued and encouraged to be involved in community activities and causes they are passionate about.
 Tina has been running her own design firm since 1976 and she is the community face of Uptown Studios. She is ready and eager to get your project going, and share her experience that will give you the â€œbig pictureâ€ on your campaign or marketing materials. Tina loves the people she gets to work with and is always there to remind you to make it: â€œEASY, FUN AND POPULARâ€.",tina-reynolds,"The Uptown Studios crew is known for being creative, dedicated and enthusiastic. Started by Tina..."
Shahriar,Nejad,Shahriar Nejad, ,CFY Development,"Coming Soon",shahriar-nejad,"Coming Soon..."
Amy,Tong,Amy Tong,Chief Information Officer and Director,State of California Department of Technology,"Governor Jerry Brown appointed Amy Tong as Director of the California Department of Technology (CDT) on June 30, 2016, after she had served as Acting Director since April 1, 2016.
 As the Director and State Chief Information Officer (CIO), Ms. Tong is responsible for advising the Governor on the strategic management and direction of the stateâ€™s Information Technology (IT) resources. She is also responsible for establishing and implementing state IT strategic plans, policies, standards and enterprise architecture while minimizing overlap, redundancy and cost to the state by promoting the efficient and effective use of IT. Ms. Tong coordinates the activities of Agency Information Officers (AIO) and department CIOs for the purpose of integrating statewide technology initiatives and ensuring compliance with IT policies and standards in the areas of Digital Services, Information Security, Project Delivery, Innovation and IT Workforce development. She promotes alignment and effective management of IT resources by working to improve organizational maturity and capacity in the effective management of IT. In order to achieve success in these areas, Ms. Tong has emphasized the importance of strategic clarity within the department. She has aimed to instill a sense of common purpose throughout the organization through structural realignment and improved internal communication with the end goal being a department that is pointed in the same direction and continuously working toward one common goal.
 Ms. Tong has over 22 years of business, technology, and management experience in the public sector. Prior to being appointed director of CDT, she served as the Chief Deputy Director and Agency Chief Information Officer in the Office of Systems Integration at the California Health and Human Services Agency, Deputy Director and Chief Information Officer at California Lottery, Chief Technology Officer at Board of Equalization; Chief of the Data Center at California Public Employeesâ€™ Retirement System; and was the acting CIO at the Water Resources Control Board. Ms. Tong has a Bachelor of Science degree in Management Information System (MIS) and a Master of Business Administration (MBA) from California State University, Sacramento.
 Ms. Tong has also spent the past 17 years serving her community as a volunteer. She is a national senior adviser and immediate past national vice-chair of the Asian Pacific Islander Public Affairs Association, a non-profit organization, dedicated to empowering community members in civic engagement, youth leadership development, and community collaboration. Ms. Tong is continuing her community involvement by serving as the Planning Commissioner for the City of Elk Grove.",amy-tong,"Governor Jerry Brown appointed Amy Tong as Director of the California Department of Technology (CDT)..."
Tyler,Smith,Tyler Smith,Founder & CEO,SkySlope,"Born and raised in Sacramento, Tyler Smith is the founder and CEO of SkySlope, a software company that streamlines the transaction process for real estate professionals. With over 100 employees and growing, SkySlope serves 47 of the top 100 brokerages in the nation.",tyler-smith,"Born and raised in Sacramento, Tyler Smith is the founder and CEO of SkySlope, a software company that..."
Gary,May,Gary May,Chancellor,"University of California, Davis","As chancellor of one of the worldâ€™s great public research universities, Gary S. May leads UC Davis as it advances its mission in several key areas, including:
 Achieving equal access to education and opportunity for students of all backgrounds
 Building diversity and nurturing success among students, faculty and staff
 Deepening the universityâ€™s engagement with Sacramento, Davis and the surrounding region
 Conducting useful research and outstanding scholarship in areas of critical need to California, the nation and the world
 May became UC Davisâ€™ seventh chancellor on Aug. 1, 2017 by appointment of the UC Board of Regents. He leads the most comprehensive campus in the University of California system, with four colleges and six professional schools that offer 104 undergraduate majors and 96 graduate and professional degrees. UC Davis enrolls about 37,000 students, brings in nearly $800 million annually in sponsored research and contributes at least $8 billion to the California economy each year.
 An accomplished scholar and engineer, May came to UC Davis from the Georgia Institute of Technology in Atlanta, where he had been for nearly three decades, most recently as dean of the instituteâ€™s College of Engineering â€” the largest and most diverse school of its kind in the nation, with 450 faculty and 13,000 students.
 Prior to being dean, May was the Steve W. Chaddick Chair of Georgia Techâ€™s School of Electrical & Computer Engineering, and previously, he was the executive assistant to Georgia Tech President G. Wayne Clough.
 May is known as a dynamic leader with a passion for helping others succeed. He believes success is best judged by â€œthe extent you enhance the lives of others.â€ Throughout his career, he has championed diversity in both higher education and the workplace. He developed and led programs to attract, mentor and retain underrepresented women and ethnic minorities in STEM â€” the fields of science, technology, engineering and math. In 2015, President Obama honored him with the Presidential Award for Excellence in STEM Mentoring.
 May has won numerous research awards for his work in computer-aided manufacturing of integrated circuits and other devices. He has authored more than 200 technical publications, contributed to 15 books and holds a patent in this topic.
 In 2010, he was named â€œoutstanding engineering alumnusâ€ of UC Berkeley, where he earned his masterâ€™s and Ph.D. degrees in electrical engineering and computer science.
 A native of St. Louis, May is married to LeShelle R. May, a software engineer, and they have two daughters, Simone and Jordan, who are in college.",gary-may,"As chancellor of one of the world’s great public research universities, Gary S. May leads UC Davis as it advances..."
Robert,Nelson,Robert Nelson,President,"California State University, Sacramento","Robert S. Nelsen, who became Sacramento Stateâ€™s eighth permanent president on July 1, 2015, grew up poor on the Montana cattle ranch that his father worked three jobs to buy for the family.
 Nelsen made his first visit to Sacramento State in spring 2015. He and his wife, Jody, fell in love with the campus, and he knew this is where he wanted to be.
 â€œYou could say it was because of the trees, but it really wasnâ€™t. It was seeing the students and the possibilities, seeing the diversity. This is the seventh-most diverse university west of the Mississippi. Seeing so many Latino students warmed my heart, because Iâ€™m coming from a place thatâ€™s 89 percent Hispanic,â€ says Nelsen, who is fluent in Spanish (and reads French). â€œSeeing the Asian American students. Seeing the African American students. Seeing the Caucasian students. Seeing them mingle together â€“ and knowing what that diversity could do. Diversity makes us stronger, and I see the chance here to create true leaders.""
 At Sacramento State, Nelsen will work to improve graduation and retention rates, and reduce studentsâ€™ time to degree. ""And,â€ he says, â€œI love our mission statement, which is: 'As California's capital university, we transform lives by preparing students for leadership, service, and success.' ""
 Robert Steven Nelsen was born on Jan. 21, 1952, in Brigham City, Utah, to Geri and Bob Nelsen. His father always dreamed of owning a ranch in Montana and so, to make the down payment, he raised dairy cows on their Utah farm and delivered milk to the local schools before going to his job as a sheet-metal worker. All three Nelsen boys â€“ Mike, Randy, and Robert â€“ worked cattle on the familyâ€™s ranch.
 Nelsen, who is the first in his family to attend college, earned his bachelorâ€™s and masterâ€™s degrees in political science from BYU. During his freshman year, he worked as a janitor, cleaning campus buildings, and had a side job painting curbside street addresses. Later, he took a job managing the Western wear department at an Orem, Utah, sporting goods store.
 After finishing graduate school in 1979, Nelsen was accepted at the University of Chicagoâ€™s John U. Nef Committee on Social Thought, where students read whatever their professor is reading and usually at the professorâ€™s home. After earning his doctorate in 1989, he got a job as a lecturer at the University of Illinois at Chicago.
 Nelsen, who has a finished novel, was doing a lot of writing at the time. â€œI was in the middle of the minimalist phase when minimalism was hot,â€ he says, â€œand I was published in some major, cutting-edge journals, and got a good reputation. Thatâ€™s how I got the job at the University of Texas-Dallas in 1990.â€
 There, he founded the creative writing program, was a professor of Literary and Aesthetic Studies, and served as vice provost. In 2008, Jody Nelsen, who earned her master of business administration from UT-Dallas, was hired as the vice president of Business Affairs at Texas A&M University-Corpus Christi. Nelsen followed his wife to A&M-CC, where he was a professor of English and the associate vice president for Academic Affairs.
 A year later, Nelsen was named president of the University of Texas-Pan American. In less than five years under his leadership, the total enrollment and six-year graduation rates increased, the schoolâ€™s financial situation improved, and the communityâ€™s perception of UTPA went from a negative 47 percent to a positive 76 percent, thanks to aggressive community engagement and marketing initiatives. In 2014, UTPA was named College of the Year by the National Hispanic Institute.
 UTPA had a high percentage of low-income students, so Nelsen pushed for the creation of a food bank for the students, and he and his wife created an emergency fund in the name of their son, Seth.
 As UTPAâ€™s first lady, Jody Nelsen devoted herself to causes such as the plight of abused women and the issue of hunger. She was board president of the Food Bank of the Rio Grande Valley, and is looking forward to getting involved in charitable causes as Sacramento Stateâ€™s first lady.
 Nelsen essentially worked himself out of his presidency at UTPA when he and other university officials discovered a loophole in the Texas constitution that allowed eligible institutions in the UT and A&M systems the access to millions of dollars in a public endowment. In order to receive the funding, UTPA and UT-Brownsville merged to create the new University of Texas-Rio Grande Valley, with a School of Medicine.
 At Sacramento State, Nelsen is leading the effort to raise private funds for both a new science building and an events center, as well as to raise money to renovate older buildings. The Nelsens host small dinner parties for donors at their home and plan to host large fundraisers at the University's Julia Morgan House.
 He is committed to ensuring that Sacramento Stateâ€™s students graduate with less debt and have jobs waiting when they finish school. He wants them to become lifelong learners and critical thinkers. And he has big dreams for Sacramento State itself.",robert-nelson,"Robert S. Nelsen, who became Sacramento State’s eighth permanent president on July 1, 2015, grew up..."
