first-name,last-name,full-name,title,organization,bio,slug,bio_short
Amy,Tong,Amy Tong,Chief Information Officer and Director,State of California Department of Technology,"Governor Jerry Brown appointed Amy Tong as Director of the California Department of Technology (CDT) on June 30, 2016, after she had served as Acting Director since April 1, 2016.
As the Director and State Chief Information Officer (CIO), Ms. Tong is responsible for advising the Governor on the strategic management and direction of the state’s Information Technology (IT) resources. She is also responsible for establishing and implementing state IT strategic plans, policies, standards and enterprise architecture while minimizing overlap, redundancy and cost to the state by promoting the efficient and effective use of IT. Ms. Tong coordinates the activities of Agency Information Officers (AIO) and department CIOs for the purpose of integrating statewide technology initiatives and ensuring compliance with IT policies and standards in the areas of Digital Services, Information Security, Project Delivery, Innovation and IT Workforce development. She promotes alignment and effective management of IT resources by working to improve organizational maturity and capacity in the effective management of IT. In order to achieve success in these areas, Ms. Tong has emphasized the importance of strategic clarity within the department. She has aimed to instill a sense of common purpose throughout the organization through structural realignment and improved internal communication with the end goal being a department that is pointed in the same direction and continuously working toward one common goal.
Ms. Tong has over 22 years of business, technology, and management experience in the public sector. Prior to being appointed director of CDT, she served as the Chief Deputy Director and Agency Chief Information Officer in the Office of Systems Integration at the California Health and Human Services Agency, Deputy Director and Chief Information Officer at California Lottery, Chief Technology Officer at Board of Equalization; Chief of the Data Center at California Public Employees’ Retirement System; and was the acting CIO at the Water Resources Control Board. Ms. Tong has a Bachelor of Science degree in Management Information System (MIS) and a Master of Business Administration (MBA) from California State University, Sacramento.
Ms. Tong has also spent the past 17 years serving her community as a volunteer. She is a national senior adviser and immediate past national vice-chair of the Asian Pacific Islander Public Affairs Association, a non-profit organization, dedicated to empowering community members in civic engagement, youth leadership development, and community collaboration. Ms. Tong is continuing her community involvement by serving as the Planning Commissioner for the City of Elk Grove.",amy-tong,"Governor Jerry Brown appointed Amy Tong as Director of the California Department of Technology (CDT) on June 30, 2016, after she had served as Acting Director since April 1, 2016.
As the Director and State Chief Information Officer (CIO), Ms. Tong is responsible for advising the..."
Andrea,Deveau,Andrea Deveau,"Senior Vice President, Sacramento",Strategies 360,"Andrea Deveau leads S360’s office in Sacramento and is a seasoned advocacy veteran with deep experience in energy and technology policy.
Prior to S360, Andrea served as Vice President of State Policy and Politics for TechNet, the leading voice for the innovation economy. During this time, Andrea was responsible for leading TechNet’s 50-state advocacy program and raised the organization’s profile by securing numerous legislative victories on advanced energy, privacy, security, future of work, and education.
Prior to TechNet, Andrea served as the Senior Director of Policy Innovation at Direct Energy for 13 years, where she had multi-state, region, and national responsibilities for local and state government policy development. She also served in the capacity of Board Secretary for the TechNet Executive Committee and in January 2016 and Andrea was appointed to the California Million Women Mentors Honorary Leadership Council.
She has served as a Steering Committee Member for the California Alliance for Competitive Energy Solutions, President of the Alliance for Retail Energy Markets, and as a Board Member of the Arizona Independent System Administrator. In 2012, Andrea received the Western Power Trading Forum’s Kent Wheatland Award in recognition of her efforts in advocating for competitive energy market policy. Ms. Deveau is a graduate of the University of Arizona, earning a Bachelor of Science and Business Administration.",andrea-deveau,"Andrea Deveau leads S360’s office in Sacramento and is a seasoned advocacy veteran with deep experience in energy and technology policy.
Prior to S360, Andrea served as Vice President of State Policy and Politics for TechNet, the leading voice for the innovation economy. During..."
Antonio,Yung,Antonio Yung,China Trade Office,City of Sacramento,"Antonio Yung started his technical career as a system engineer for Systems Integrators, Inc. (SII) in Sacramento. A world dominated supplier for digitalizing newspapers and publishing solution, SII had a global customer base with the most prestige newspapers like LA Times, Washington Post, as well as news services to Reuters and Associated Press. By the time he left SII, he was the head of worldwide installations and new technologies.
His international consulting career spanned decades working for Apple, IBM, Fujifilm, Sony, State of California, and Wells Fargo Bank. For seven years, he held key positions in the Internet Technology Services Group at Wells Fargo. Afterward, he also led the internet infrastructure team at Wells Fargo Mortgage. He was asked to advise the bank during the Wells Fargo – Wachovia merger.
These days, Tony is leading the City of Sacramento – China Office to attract foreign investment into the region.",tony-yung,"Antonio Yung started his technical career as a system engineer for Systems Integrators, Inc. (SII) in Sacramento. A world dominated supplier for digitalizing newspapers and publishing solution, SII had a global customer base with the most prestige newspapers like LA Times..."
Arik,Armstead,Arik Armstead,Defensive End & Tech Investor,San Francisco 49ers,"Arik Armstead was born and raised in Sacramento, CA and attended Pleasant Grove High School in Elk Grove where he was USA Today All American as a senior. Arik went on to the University of Oregon where he started for 3 years and won the Pac 12 Championship in 2012. After declaring for the draft in his junior season, Arik was drafted 17th overall to the San Francisco 49ers and is currently in his 5th year with the 49ers. Arik enjoys coming back home in the off-season to visit family and friends and give back. Arik is the founder of the Armstead Academic Project which focuses on positively impacting the Sacramento Public School system by serving students and providing equality. Arik also has embraced the silicon valley and is a tech investor along with an investor/co-creator of the start up app Blerp.",arik-armstead,"Arik Armstead was born and raised in Sacramento, CA and attended Pleasant Grove High School in Elk Grove where he was USA Today All American as a senior. Arik went on to the University of Oregon where he started for 3 years and won the Pac 12 Championship in 2012. After declaring..."
Brook,Taylor,Brook Taylor,"Manager, City Engagement",Daimler Urban Mobility - Americas,"Brook Taylor is the Head of City Engagement for Daimler Urban Mobility - Americas. He’s responsible for collaborating with cities in the US, Central America, South America and beyond to deploy new urban mobility platforms. He has over 14 years of experience specializing in Transportation Public Policy, Urban Mobility and Economic Development.
In 2019, he was hired by Daimler Urban Mobility to partner with cities to help make them more livable and prepare for everything from autonomous vehicles to new mobility data platforms. He is actively engaged in efforts to help Daimler deploy autonomous vehicles, connected cars, advanced electric vehicles, new mobility data platforms and smart city infrastructure. Prior to that he was responsible for State Regulatory Affairs at Mercedes-Benz R&D, helping navigate the challenges associated with the company’s aggressive plan for the future, which includes four key pillars: Connected, Autonomous, Shared and Electric (CASE). He was actively engaged in state policy efforts to prepare the market for electrification including advocating for more zero emission vehicle infrastructure, increasing the availability of vehicle incentives, investing in smart cities, advocating for autonomous vehicle technology and more.
Prior to joining Mercedes, he was a senior aide to Governor Jerry Brown as deputy director at the California Governor's Office of Business and Economic Development (GO-Biz). He has served two California Governors, previously as an advisor and Senior Policy Analyst for Governor Arnold Schwarzenegger.
He is an industry expert on transportation policy, local government, the deployment of electric vehicles, automotive regulations, emissions regulations, economic development, and crisis communications.  Taylor graduated from the University of Oregon School of Journalism.",brook-taylor,"Brook Taylor is the Head of City Engagement for Daimler Urban Mobility - Americas. He’s responsible for collaborating with cities in the US, Central America, South America and beyond to deploy new urban mobility platforms. He has over 14 years of experience specializing in..."
Buck,Avey (for Tyler Smith),Buck Avey (for Tyler Smith),Vice President of Product,SkySlope,"After gaining over a decade of experience on the Austin, Texas technology scene, Buck Avey relocated to Sacramento in 2017 to serve as the VP of Product at Skyslope, a native Sacramento software company that streamlines the transaction process for real estate professionals. SkySlope serves over 1,800 Brokerages and 180,000 agents in the US and Canada. In his role at SkySlope, Buck oversees product management, product design and product marketing for the company.
Buck’s business experience ranges from incubation 'start-ups' (small, private equity companies and inside a large company such as Dell Technologies) to mature multi-billion-dollar global product lines. Prior to joining the Skyslope team, Buck worked for companies within the Vista Equity portfolio, running product for PeopleAdmin and Social Solutions. He started his technology career at Dell where he spent over 10 years in a variety of roles, ultimately serving as the Director of Product Management and Development for Cloud Services. He is a member of Pragmatic Marketing and has presented at a number of conferences regarding best practices in the product management field.",buck-avey,"After gaining over a decade of experience on the Austin, Texas technology scene, Buck Avey relocated to Sacramento in 2017 to serve as the VP of Product at Skyslope, a native Sacramento software company that streamlines the transaction process for real estate professionals..."
Damian,Lynch,Damian Lynch,Chief Operations Officer & Event Manager,HOFDay,"Sacramento’s infamous Hall of Fame will continue cultivating its roots in the city, as the collective celebrates its third annual #HOFDAY on September 16 in Old Sacramento. While it is known as “a party so big, they call it a festival,” #HOFDAY is in fact a monumental music and arts festival celebrating the youth’s imprint within the city. Indeed, HOF will be the first external company, in 30 years, to host a large-scale event in Old Sacramento.
As a conglomerate, HOF has been entertaining and catering to Sacramento’s youth unlike any other group. Weekly events, such as CAKE at District 30 and Salty Saturdays at Highwater, have significantly propelled HOF’s clout in the last year alone. However, the group has been around since 2008 and has plans to be around for many years to come.
As a founding member, Damian Lynch, HOF’s Chief Operations Officer and Event Manager, has persistently been in meetings with the city and his team, working to break the barriers necessary to bring such a large-scale event to life.",damian-lynch,"Sacramento’s infamous Hall of Fame will continue cultivating its roots in the city, as the collective celebrates its third annual #HOFDAY on September 16 in Old Sacramento. While it is known as “a party so big, they call it a festival,” #HOFDAY is in fact a monumental music and..."
George,Kalogeropoulos,George Kalogeropoulos,CEO & Co-Founder,HealthSherpa,"George Kalogeropoulos is the CEO and one of three co-founders of HealthSherpa, a Sacramento-based startup that streamlines enrollment through the individual health plan marketplace created by the Affordable Care Act. Kalogeropoulos got his start in tech after he moved across country from Connecticut to join his fiancé (now wife), who was pursuing a law degree in the Bay Area. After connecting with a mutual friend and fellow Yale graduate, Ning Liang, the two started developing business ideas together in 2012. One of Kalogeropoulos and Liang's first projects was OpsCost, a tool to compare the cost of procedures at different hospitals. Since 2013, HealthSherpa has connected more than a 1.5 million visitors to its website with individual health insurance plans.",george-kalogeropoulos,"George Kalogeropoulos is the CEO and one of three co-founders of HealthSherpa, a Sacramento-based startup that streamlines enrollment through the individual health plan marketplace created by the Affordable Care Act. Kalogeropoulos got his start in tech after he moved across..."
Jay,Sales,Jay Sales,Director of Advanced Technology,VSP Global,"In 2006, Jay Sales joined VSP Global, an industry-leading organization that brings together high-quality, high-fashion eyewear, customized lenses and ophthalmic technology to help more than 84 million people see. Today, Sales serves as co-founder and co-director of VSP's innovation lab, The Shop. Predicated on design thinking, lean methodologies, and disruption theory, The Shop is breaking down boundaries between the digital and physical worlds where design, fashion and healthcare collide. The Shop’s mission is to evolve design and technology towards discoveries that enhance lives. Jay has over 20 years of experience in technology, which has included positions working with IBM and its premiere business partners, HP, and multiple start-ups and internet companies. He is currently leading a fast-paced team that emphasizes design-driven disruption via technology for the healthcare and vision industries. Most recently, Jay’s team debuted Level™, the first wearable tech frame prototype by a healthcare company to seamlessly integrate health-tracking technology into the temple of an optical frame.",jay-sales,"In 2006, Jay Sales joined VSP Global, an industry-leading organization that brings together high-quality, high-fashion eyewear, customized lenses and ophthalmic technology to help more than 84 million people see. Today, Sales serves as co-founder and co-director of VSP's..."
Mac,Clemmens,Mac Clemmens,Chief Executive Officer,Digital Deployment,"Mac is the CEO of Digital Deployment. He is responsible for the growth of the company, recruiting and retaining top talent, and standing for Digital Deployment’s culture and values. His passion is empowering institutions, associations, and nonprofits to communicate online and better connect with their users while teaching them how to build measurable and sustainable business value.
Like Digital Deployment, Mac is committed to the local community. He currently serves as a board member of Stanford Youth Solutions, the CSU Monterey Bay Foundation, the Comstock’s Editorial Board, and has served as Vice-Chair, Public Policy for the Sacramento Metro Chamber of Commerce. In 2019, Mac was selected to chair the 49th Annual Cap-to-Cap program which brought over 350 local elected officials and business and community leaders to Washington D.C. to advocate for the Sacramento region.
Mac is passionate about establishing internship partnership programs with several regional schools while introducing students to the many interdisciplinary aspects of website development though Hour of Code, NextEd, Linked Learning.
Mac was named 40 under 40 by the Sacramento Business Journal, was featured on the cover of Comstock’s Magazine as a change leader, and received the 2017 Young Alumnus award from UC Davis. In November 2014 and again in 2015 and 2016, Mac was invited to the White House to advocate for small business and discuss net neutrality.
Mac is passionate about supporting the arts. To this end, he held two Sacramento screenings with George Takei to raise money for Allegiance, the first broadway musical to address the internment of Japanese citizens during WWII.
In 2009, Mac cofounded a San Francisco-based 501(c)(3) non-profit called Reason to Party which throws parties to raise money for local charity while engaging a new generation in philanthropy. To date, Reason to Party has expanded to other cities and raised over $500,000 for local causes, garnered media attention from Forbes, The Huffington Post, CBS, and many others. Most recently, Mac helped inaugurate Reason to Party’s launch in New York City at the NASDAQ in Times Square.
Mac is also a co-founder of GrogTag, a service for homebrewers to design and create their own labels, coasters and more online. Since its inception, GrogTag has shipped over 1M products to over 25 countries worldwide.
Mac holds an MBA from the Graduate School of Management at University of California, Davis and a BS, Computer Science from CSU Monterey Bay. Mac is a fellow of the American Leadership Forum (Class XIX) and a member of Vistage.
In his spare time, Mac travels, plays the piano, sings, and does CrossFit.",mac-clemmens,"Mac is the CEO of Digital Deployment. He is responsible for the growth of the company, recruiting and retaining top talent, and standing for Digital Deployment’s culture and values. His passion is empowering institutions, associations, and nonprofits to communicate online and..."
